model_name,model_step,false_mask1_avg,correct_mask1_avg,false_mask2_avg,correct_mask2_avg,false_avg_1_num_mask,false_avg_2_num_mask,correct_avg_1_num_mask_first_mask,correct_avg_2_num_mask_first_mask,accuracy_mask1,accuracy_mask2,accuracy_1_num_mask,accuracy_2_num_mask
EleutherAI_pythia-2.8b,step1000,1.69724337158805e-05,2.442996535747942e-05,,,2.0548817014355252e-05,7.323649608537153e-06,2.1689221951021112e-05,3.182426267282008e-05,0.6112676056338028,,0.49034749034749037,0.9375
EleutherAI_pythia-2.8b,step10000,6.420268461446145e-06,1.0449057077803041e-05,,,7.858535859406864e-06,2.539942877364624e-06,1.3916699731575879e-05,1.0936461681450755e-06,0.5887323943661972,,0.61003861003861,0.53125
EleutherAI_pythia-2.8b,step110000,6.041584088314464e-05,5.831214030930308e-05,,,1.5689673516899724e-05,0.0001810833132566596,7.750566879500886e-05,6.529599915576038e-06,0.504225352112676,,0.5945945945945946,0.2604166666666667
EleutherAI_pythia-2.8b,step143000,4.7871566477133704e-05,5.9740057832727384e-05,,,2.16464778799917e-05,0.00011862467008817307,8.077691274078279e-05,2.9843763620363006e-06,0.4619718309859155,,0.5675675675675675,0.17708333333333334
EleutherAI_pythia-2.8b,step2000,2.2481141498746853e-06,2.6201885520914375e-06,,,2.256664012043042e-06,2.2250473342329733e-06,3.01194035701126e-06,1.563274828401499e-06,0.4591549295774648,,0.47876447876447875,0.40625
EleutherAI_pythia-2.8b,step20000,2.191819890378318e-05,5.776752922266188e-05,,,2.6383254288763895e-05,9.871851563053961e-06,7.798278675155752e-05,3.2284490144955194e-06,0.5690140845070423,,0.5791505791505791,0.5416666666666666
EleutherAI_pythia-2.8b,step4000,4.588598476847159e-06,5.559436704036021e-06,,,4.695072202331921e-06,4.301341238299727e-06,6.9678381667870505e-06,1.759686924322305e-06,0.4647887323943662,,0.5212355212355212,0.3125
EleutherAI_pythia-2.8b,step40000,2.993941595101229e-05,3.0112793809809286e-05,,,2.8889628937302528e-05,3.277165383175009e-05,4.0207465545472394e-05,2.87821068963486e-06,0.49859154929577465,,0.6023166023166023,0.21875
EleutherAI_pythia-2.8b,step60000,2.162009715960704e-05,3.4473764009440775e-05,,,1.3723077601536893e-05,4.292559784231712e-05,4.6012970862332164e-05,3.341945520910864e-06,0.5352112676056338,,0.5752895752895753,0.4270833333333333
EleutherAI_pythia-2.8b,step80000,3.064476737856588e-05,4.492461819134597e-05,,,1.5561584716412603e-05,7.133793726916693e-05,5.9594771119132665e-05,5.345768104921452e-06,0.5380281690140845,,0.5868725868725869,0.40625
EleutherAI_pythia-410m,step1000,9.563664763139216e-06,1.0078643855657865e-05,,,1.104773674754917e-05,5.5597622218665306e-06,9.512189590328828e-06,1.1606890258993493e-05,0.5915492957746479,,0.4942084942084942,0.8541666666666666
EleutherAI_pythia-410m,step10000,4.749102090931994e-06,1.6704653961594203e-06,,,6.103270383267673e-06,1.0956688855680297e-06,2.0390273504565315e-06,6.761159569620053e-07,0.6253521126760564,,0.525096525096525,0.8958333333333334
EleutherAI_pythia-410m,step110000,2.9052621511639523e-05,1.1944901146328226e-05,,,1.3537228389190727e-05,7.091185920657951e-05,1.4231271995488305e-05,5.776463126198432e-06,0.48732394366197185,,0.5521235521235521,0.3125
EleutherAI_pythia-410m,step143000,1.4208474900862118e-05,8.01543878510103e-06,,,1.1161978545633612e-05,2.2427668192572362e-05,9.890290896297498e-06,2.9572440267688904e-06,0.5014084507042254,,0.5675675675675675,0.3229166666666667
EleutherAI_pythia-410m,step2000,5.084759541908067e-06,1.592577415921831e-06,,,6.382283406228992e-06,1.5841482829589044e-06,1.696639885752044e-06,1.311825544192402e-06,0.5943661971830986,,0.5212355212355212,0.7916666666666666
EleutherAI_pythia-410m,step20000,6.018138726228387e-06,6.496059483867519e-06,,,4.538112692152471e-06,1.001112563066237e-05,7.405953920324707e-06,4.0412401188424e-06,0.6056338028169014,,0.5637065637065637,0.71875
EleutherAI_pythia-410m,step4000,3.3176928314193295e-06,2.5540194292056576e-06,,,3.6253712796895544e-06,2.4876020178569527e-06,2.3946255927868686e-06,2.9840507170438477e-06,0.6140845070422535,,0.5405405405405406,0.8125
EleutherAI_pythia-410m,step40000,1.5276541105258e-05,3.6711866944764716e-06,,,9.047846039214265e-06,3.208104133552183e-05,4.048317860066085e-06,2.6537182373128263e-06,0.48732394366197185,,0.555984555984556,0.3020833333333333
EleutherAI_pythia-410m,step60000,1.2709972670425833e-05,3.136363201776463e-06,,,1.3238990966029154e-05,1.1282725393746033e-05,3.383756278020563e-06,2.4689172981595675e-06,0.4676056338028169,,0.5212355212355212,0.3229166666666667
EleutherAI_pythia-410m,step80000,1.853873241108204e-05,9.019122912370121e-06,,,1.1409620366624762e-05,3.7772482614357397e-05,1.0304488093781728e-05,5.551314766686725e-06,0.4676056338028169,,0.5096525096525096,0.3541666666666667
EleutherAI_pythia-70m,step1000,5.1917190535171934e-05,3.785958050439956e-05,,,6.97712735573198e-05,3.7483623816688314e-06,4.471886898368282e-05,1.9353791794666602e-05,0.6,,0.4749034749034749,0.9375
EleutherAI_pythia-70m,step10000,6.646601984504069e-05,3.093229607493091e-05,,,8.282823853595519e-05,2.2322117335177602e-05,4.1663929630983816e-05,1.9792430434965405e-06,0.4197183098591549,,0.5135135135135135,0.16666666666666666
EleutherAI_pythia-70m,step110000,2.005966308660998e-06,1.5686663558939985e-05,,,1.1727002385794004e-06,4.254048726901975e-06,2.11510313849381e-05,9.442545283825746e-07,0.4253521126760563,,0.47876447876447875,0.28125
EleutherAI_pythia-70m,step143000,1.7407318760273356e-06,4.2833191082108566e-06,,,1.4898062839663305e-06,2.4177082129419234e-06,5.421344674591023e-06,1.2130209655810316e-06,0.37464788732394366,,0.42857142857142855,0.22916666666666666
EleutherAI_pythia-70m,step2000,9.025011211426442e-05,4.185927767320355e-05,,,0.00010909421981122293,3.941027989017845e-05,3.770587047494417e-05,5.3064824176840814e-05,0.5183098591549296,,0.47876447876447875,0.625
EleutherAI_pythia-70m,step20000,1.512783820171921e-05,4.0424616853346456e-05,,,1.2130763655970532e-05,2.3213695569937002e-05,5.518462403444239e-05,6.03347479348019e-07,0.4309859154929577,,0.583011583011583,0.020833333333333332
EleutherAI_pythia-70m,step4000,0.00011672128645245678,6.365456965916585e-05,,,0.00013644869337751502,6.349838651922671e-05,8.515289773492671e-05,5.653872038102747e-06,0.4,,0.4826254826254826,0.17708333333333334
EleutherAI_pythia-70m,step40000,2.0898921989820284e-05,6.155652638646993e-05,,,1.3511523429519834e-05,4.082950768896421e-05,8.30761718383237e-05,3.4983162611560794e-06,0.4,,0.5173745173745173,0.08333333333333333
EleutherAI_pythia-70m,step60000,4.338784546863459e-05,2.424304478575318e-05,,,4.4705193206835824e-05,3.9833751049945864e-05,3.1424619267223244e-05,4.867755299287069e-06,0.4140845070422535,,0.5135135135135135,0.14583333333333334
EleutherAI_pythia-70m,step80000,1.3307248725990016e-05,6.074611727927237e-06,,,1.1819445621657121e-05,1.7321217517888144e-05,6.949952633723547e-06,3.713014909164277e-06,0.4619718309859155,,0.528957528957529,0.28125
google_multiberts-seed_0,step_1200k,0.10283674108095235,0.057813117204958714,0.2132960247549717,0.0023339350270903765,0.06189430388903786,0.2132960247549717,0.07611082718472936,0.008447420488702494,0.4732394366197183,0.052083333333333336,0.6023166023166023,0.125
google_multiberts-seed_0,step_120k,0.10357695458662902,0.0897973382361772,0.11075230297380279,7.599681515985846e-05,0.10091736599524419,0.11075230297380279,0.12221930741835636,0.002325567213423052,0.4507042253521127,0.020833333333333332,0.5405405405405406,0.20833333333333334
google_multiberts-seed_0,step_1600k,0.10305558034311904,0.0796706050303949,0.2014281991645858,0.0016302753476163175,0.06659314247879161,0.2014281991645858,0.10805737928103112,0.003085453666699276,0.48169014084507045,0.03125,0.6254826254826255,0.09375
google_multiberts-seed_0,step_2000k,0.11333220960845285,0.06741881404189456,0.2216496109349464,0.0019880587521854723,0.07318367475384521,0.2216496109349464,0.09127176204932742,0.003065548063508032,0.447887323943662,0.041666666666666664,0.5868725868725869,0.07291666666666667
google_multiberts-seed_0,step_200k,0.10943851757285786,0.0885239623135341,0.1436893579796011,0.000208360081120794,0.09674322537576384,0.1436893579796011,0.1205525307443771,0.0021135537344889074,0.4450704225352113,0.0625,0.5598455598455598,0.13541666666666666
google_multiberts-seed_0,step_300k,0.09535095950506525,0.08080395194121563,0.15341915333466713,0.0002454782944228055,0.07382761352961435,0.15341915333466713,0.1100032742651363,0.0020266135881380366,0.447887323943662,0.0625,0.5791505791505791,0.09375
google_multiberts-seed_0,step_40k,0.09835405503614902,0.06559505179650223,0.18095620781347677,5.537000101658743e-05,0.06773704087930169,0.18095620781347677,0.08910617422339749,0.002164002748941076,0.4676056338028169,0.03125,0.528957528957529,0.3020833333333333
google_multiberts-seed_0,step_500k,0.08363438140689605,0.06657396151109343,0.13719979459965584,0.00021786313638770126,0.0637800197601588,0.13719979459965584,0.09066518747338415,0.0015778414669966351,0.523943661971831,0.08333333333333333,0.6525096525096525,0.17708333333333334
google_multiberts-seed_0,step_800k,0.06113768394509963,0.06774199439480362,0.10196081144221181,0.0006011697118848878,0.04600633166817775,0.10196081144221181,0.09178139707671955,0.002885689242551309,0.5521126760563381,0.10416666666666667,0.6718146718146718,0.22916666666666666
google_multiberts-seed_0,step_80k,0.07845695411448009,0.06033877305315294,0.10189505590644403,3.590369971994669e-05,0.06976947236919616,0.10189505590644403,0.08227364735501244,0.0011603100929277793,0.4591549295774648,0.020833333333333332,0.5945945945945946,0.09375
google_multiberts-seed_3,step_1200k,0.09772037078022468,0.10049971944606534,0.1452503091653295,0.0003011761513505508,0.0801030963208808,0.1452503091653295,0.13433435522174864,0.00921669167625315,0.5211267605633803,0.08333333333333333,0.6293436293436293,0.22916666666666666
google_multiberts-seed_3,step_120k,0.09666443013357676,0.05564092032258943,0.14074702873161485,7.214315124906529e-05,0.08032493412812636,0.14074702873161485,0.07125535661554368,0.013514472407223317,0.428169014084507,0.010416666666666666,0.49034749034749037,0.2604166666666667
google_multiberts-seed_3,step_1600k,0.1046760742703631,0.12042710600788419,0.15462293884902084,0.0002080311450293761,0.08616295071997261,0.15462293884902084,0.16246925284819017,0.007000897344975429,0.5154929577464789,0.0625,0.640926640926641,0.17708333333333334
google_multiberts-seed_3,step_2000k,0.09997722318706548,0.11800903190435448,0.16224018373337876,0.00014603048820984723,0.07689906020464823,0.16224018373337876,0.15996281078363062,0.004821232636307542,0.5352112676056338,0.052083333333333336,0.6640926640926641,0.1875
google_multiberts-seed_3,step_200k,0.08965296881718193,0.07173598956827662,0.12616853549752702,0.00019141658087829593,0.07611824139898454,0.12616853549752702,0.09512167795482648,0.008643351108730659,0.4591549295774648,0.0,0.5868725868725869,0.11458333333333333
google_multiberts-seed_3,step_300k,0.07347920079290536,0.07638698522716082,0.09511951978894706,0.00012982786198320143,0.06545807869398645,0.09511951978894706,0.10099990187728404,0.009983387181515908,0.5070422535211268,0.03125,0.5791505791505791,0.3125
google_multiberts-seed_3,step_40k,0.03840583369670559,0.02016836146328165,0.03772079213510433,6.404760156282384e-05,0.038659748715677476,0.03772079213510433,0.026394599168389706,0.0033704909880421935,0.476056338028169,0.010416666666666666,0.4864864864864865,0.4479166666666667
google_multiberts-seed_3,step_500k,0.058284244411861655,0.05544809017608351,0.09298676412063851,0.000167402467008934,0.04542153440397525,0.09298676412063851,0.07212145154542658,0.0104647506483767,0.5380281690140845,0.10416666666666667,0.6023166023166023,0.3645833333333333
google_multiberts-seed_3,step_800k,0.0666471964149196,0.0969636447169122,0.09652263506101048,0.0002491119579597571,0.05557367475459249,0.09652263506101048,0.13070818796170763,0.005923679087724502,0.5408450704225352,0.08333333333333333,0.6486486486486487,0.25
google_multiberts-seed_3,step_80k,0.08010405068557122,0.04264255439267513,0.1005554175625415,0.0001485741761416243,0.0725236212639915,0.1005554175625415,0.05496829011678584,0.00938874655366812,0.4169014084507042,0.0,0.44787644787644787,0.3333333333333333
