model_name,model_step,false_mask1_avg,correct_mask1_avg,false_mask2_avg,correct_mask2_avg,accuracy_mask1,accuracy_mask2
EleutherAI_pythia-2.8b,step1000,1.7893022260202067e-05,2.237071522983204e-05,,,0.6305732484076433,
EleutherAI_pythia-2.8b,step10000,6.769299494537535e-06,1.0517215214672031e-05,,,0.5732484076433121,
EleutherAI_pythia-2.8b,step110000,6.784781596202775e-05,6.248672233911572e-05,,,0.49363057324840764,
EleutherAI_pythia-2.8b,step143000,5.365784771322617e-05,6.429186137121186e-05,,,0.44904458598726116,
EleutherAI_pythia-2.8b,step2000,2.422383762985805e-06,2.6577450013090866e-06,,,0.46496815286624205,
EleutherAI_pythia-2.8b,step20000,2.4459081935422776e-05,6.407975643933116e-05,,,0.554140127388535,
EleutherAI_pythia-2.8b,step4000,4.787545620795618e-06,5.980197535540348e-06,,,0.46178343949044587,
EleutherAI_pythia-2.8b,step40000,3.335525769676857e-05,3.0503578067045585e-05,,,0.4713375796178344,
EleutherAI_pythia-2.8b,step60000,2.3661324395531446e-05,3.5402910753701436e-05,,,0.5222929936305732,
EleutherAI_pythia-2.8b,step80000,3.4136180174133486e-05,4.703109337230528e-05,,,0.5191082802547771,
EleutherAI_pythia-410m,step1000,1.0005840652604189e-05,1.0516598936316334e-05,,,0.6178343949044586,
EleutherAI_pythia-410m,step10000,5.26713490421567e-06,1.859995493625629e-06,,,0.6464968152866242,
EleutherAI_pythia-410m,step110000,3.250971523635667e-05,1.2918457301016586e-05,,,0.48089171974522293,
EleutherAI_pythia-410m,step143000,1.5866027057208552e-05,8.079977150494928e-06,,,0.49044585987261147,
EleutherAI_pythia-410m,step2000,5.648696766143035e-06,1.655656855747695e-06,,,0.6242038216560509,
EleutherAI_pythia-410m,step20000,6.6426610739629855e-06,7.274864158225962e-06,,,0.6178343949044586,
EleutherAI_pythia-410m,step4000,3.548135826876354e-06,2.8431525454858702e-06,,,0.6496815286624203,
EleutherAI_pythia-410m,step40000,1.710940984785287e-05,3.909318335372582e-06,,,0.4713375796178344,
EleutherAI_pythia-410m,step60000,1.4077118262928092e-05,3.3686708469954894e-06,,,0.46178343949044587,
EleutherAI_pythia-410m,step80000,2.0531934493568364e-05,9.619182047361158e-06,,,0.46496815286624205,
EleutherAI_pythia-70m,step1000,4.827737218810198e-05,3.247869527418569e-05,,,0.6050955414012739,
EleutherAI_pythia-70m,step10000,7.478727409899442e-05,3.3705380242632414e-05,,,0.40445859872611467,
EleutherAI_pythia-70m,step110000,2.2450794076043155e-06,1.7707983924017608e-05,,,0.4140127388535032,
EleutherAI_pythia-70m,step143000,1.929996310248805e-06,4.815066198688815e-06,,,0.3630573248407643,
EleutherAI_pythia-70m,step2000,9.526766394886212e-05,4.3081084029038295e-05,,,0.5477707006369427,
EleutherAI_pythia-70m,step20000,1.703663878775493e-05,4.52898440316827e-05,,,0.42038216560509556,
EleutherAI_pythia-70m,step4000,0.00012526163688494243,6.773825665052651e-05,,,0.3980891719745223,
EleutherAI_pythia-70m,step40000,2.3474642685473256e-05,6.93447007594753e-05,,,0.37898089171974525,
EleutherAI_pythia-70m,step60000,4.8844218989263865e-05,2.7208013240311063e-05,,,0.40764331210191085,
EleutherAI_pythia-70m,step80000,1.4959657118508868e-05,6.820242474297786e-06,,,0.4554140127388535,
google_multiberts-seed_0,step_1200k,0.11532293308548351,0.05017064748493179,0.21554120619895947,0.002358421493255006,0.4426751592356688,0.042105263157894736
google_multiberts-seed_0,step_120k,0.11412085352179009,0.07860397143444763,0.11191068386266886,7.678281583069385e-05,0.42038216560509556,0.021052631578947368
google_multiberts-seed_0,step_1600k,0.11407275569570662,0.07195061230891545,0.20353274468379284,0.001643841804820758,0.45222929936305734,0.031578947368421054
google_multiberts-seed_0,step_2000k,0.12629759147204622,0.06165274172925305,0.2239464335759342,0.0020061961666795196,0.4171974522292994,0.042105263157894736
google_multiberts-seed_0,step_200k,0.12009465132372217,0.08074594117517192,0.14518737304352775,0.00021033394814692278,0.4171974522292994,0.06315789473684211
google_multiberts-seed_0,step_300k,0.10649474841557019,0.07611587790741067,0.15502650754215205,0.00024720232789879093,0.42038216560509556,0.06315789473684211
google_multiberts-seed_0,step_40k,0.10580463337560081,0.06664010388471671,0.1800240161937465,5.5952350998461296e-05,0.445859872611465,0.031578947368421054
google_multiberts-seed_0,step_500k,0.09395615995486008,0.06299027850914284,0.13864369147837488,0.00021929410276017836,0.49044585987261147,0.07368421052631578
google_multiberts-seed_0,step_800k,0.06814251330036089,0.06436482673962955,0.1030336440411995,0.000607281759110949,0.5318471337579618,0.10526315789473684
google_multiberts-seed_0,step_80k,0.08482390040060075,0.05454300167011921,0.10289896677409396,3.59267730770663e-05,0.43630573248407645,0.021052631578947368
google_multiberts-seed_3,step_1200k,0.10741103911934383,0.09396030911774839,0.14675207760700174,0.0003042635410154089,0.5127388535031847,0.08421052631578947
google_multiberts-seed_3,step_120k,0.10230548596309219,0.052032837840096706,0.1420816398654623,7.281738750837236e-05,0.4171974522292994,0.010526315789473684
google_multiberts-seed_3,step_1600k,0.11550978324021849,0.1132580884912177,0.15585649050410302,0.00021006826656898522,0.5,0.06315789473684211
google_multiberts-seed_3,step_2000k,0.11053896214679214,0.10846001830321246,0.16302365234774024,0.00014744934989785826,0.5286624203821656,0.05263157894736842
google_multiberts-seed_3,step_200k,0.09815069197751851,0.06763227044737813,0.1274565455519079,0.00019321771119903042,0.4426751592356688,0.0
google_multiberts-seed_3,step_300k,0.07977008730408752,0.0702490784652599,0.09611908713053896,0.00013089069699252263,0.49044585987261147,0.031578947368421054
google_multiberts-seed_3,step_40k,0.041088046096159084,0.021775317148946684,0.03811075392828854,6.391784614272715e-05,0.4872611464968153,0.010526315789473684
google_multiberts-seed_3,step_500k,0.06427202018959308,0.05097775088480823,0.09396452876097959,0.0001689881402996508,0.5286624203821656,0.10526315789473684
google_multiberts-seed_3,step_800k,0.07439248885197297,0.08703663659029891,0.09753590759768584,0.0002516832326163259,0.5222929936305732,0.08421052631578947
google_multiberts-seed_3,step_80k,0.08640527330127402,0.04571428818652379,0.10135836123637616,0.00014991758875759195,0.40764331210191085,0.0
