Sentence,question,correct_answer,false_answer,pythia_question,bert_question
The banker that the barber praised climbed the mountain just outside of town before it snowed.,,,,,
The banker that you praised climbed the mountain just outside of town before it snowed.,,,,,
The banker that Sue praised climbed the mountain just outside of town before it snowed.,,,,,
The banker that praised the barber climbed the mountain just outside of town before it snowed.,,,,,
The banker that praised you climbed the mountain just outside of town before it snowed.,,,,,
The banker that praised Sue climbed the mountain just outside of town before it snowed.,,,,,
The dancer that the reporter phoned cooked the pork chops in their own juices on New Year's Eve.,,,,,
The dancer that you phoned cooked the pork chops in their own juices on New Year's Eve.,,,,,
The dancer that Ann phoned cooked the pork chops in their own juices on New Year's Eve.,,,,,
The dancer that phoned the reporter cooked the pork chops in their own juices on New Year's Eve.,,,,,
The dancer that phoned you cooked the pork chops in their own juices on New Year's Eve.,,,,,
The dancer that phoned Ann cooked the pork chops in their own juices on New Year's Eve.,,,,,
The architect that the fireman liked dominated the conversation while the game was on television.,,,,,
The architect that you liked dominated the conversation while the game was on television.,,,,,
The architect that Wes liked dominated the conversation while the game was on television.,,,,,
The architect that liked the fireman dominated the conversation while the game was on television.,,,,,
The architect that liked you dominated the conversation while the game was on television.,,,,,
The architect that liked Wes dominated the conversation while the game was on television.,,,,,
The waiter that the broker despised drove the sports car home from work that evening.,,,,,
The waiter that you despised drove the sports car home from work that evening.,,,,,
The waiter that Jan despised drove the sports car home from work that evening.,,,,,
The waiter that despised the broker drove the sports car home from work that evening.,,,,,
The waiter that despised you drove the sports car home from work that evening.,,,,,
The waiter that despised Jan drove the sports car home from work that evening.,,,,,
The detective that the secretary disliked clipped the coupons out with the dull scissors.,,,,,
The detective that you disliked clipped the coupons out with the dull scissors.,,,,,
The detective that Ted disliked clipped the coupons out with the dull scissors.,,,,,
The detective that disliked the secretary clipped the coupons out with the dull scissors.,,,,,
The detective that disliked you clipped the coupons out with the dull scissors.,,,,,
The detective that disliked Ted clipped the coupons out with the dull scissors.,,,,,
The judge that the doctor ignored watched the special about Colombian drug dealers on the nightly news.,,,,,
The judge that you ignored watched the special about Colombian drug dealers on the nightly news.,,,,,
The judge that Tom ignored watched the special about Colombian drug dealers on the nightly news.,,,,,
The judge that ignored the doctor watched the special about Colombian drug dealers on the nightly news.,,,,,
The judge that ignored you watched the special about Colombian drug dealers on the nightly news.,,,,,
The judge that ignored Tom watched the special about Colombian drug dealers on the nightly news.,,,,,
The robber that the mailman insulted read the newspaper article about the fire.,,,,,
The robber that you insulted read the newspaper article about the fire.,,,,,
The robber that Sam insulted read the newspaper article about the fire.,,,,,
The robber that insulted the mailman read the newspaper article about the fire.,,,,,
The robber that insulted you read the newspaper article about the fire.,,,,,
The robber that insulted Sam read the newspaper article about the fire.,,,,,
The governor that the comedian admired answered the telephone in the fancy restaurant.,,,,,
The governor that you admired answered the telephone in the fancy restaurant.,,,,,
The governor that Kay admired answered the telephone in the fancy restaurant.,,,,,
The governor that admired the comedian answered the telephone in the fancy restaurant.,,,,,
The governor that admired you answered the telephone in the fancy restaurant.,,,,,
The governor that admired Kay answered the telephone in the fancy restaurant.,,,,,
The actor that the director thanked worked in many hit movies before 1990.,,,,,
The actor that you thanked worked in many hit movies before 1990.,,,,,
The actor that Fay thanked worked in many hit movies before 1990.,,,,,
The actor that thanked the director worked in many hit movies before 1990.,,,,,
The actor that thanked you worked in many hit movies before 1990.,,,,,
The actor that thanked Fay worked in many hit movies before 1990.,,,,,
The poet that the painter inspired wrote an autobiography after their friendship became well known.,,,,,
The poet that you inspired wrote an autobiography after their friendship became well known.,,,,,
The poet that Ben inspired wrote an autobiography after their friendship became well known.,,,,,
The poet that inspired the painter wrote an autobiography after their friendship became well known.,,,,,
The poet that inspired you wrote an autobiography after their friendship became well known.,,,,,
The poet that inspired Ben wrote an autobiography after their friendship became well known.,,,,,
The chef that the cashier distrusted called for help after the restaurant closed.,,,,,
The chef that you distrusted called for help after the restaurant closed.,,,,,
The chef that Joe distrusted called for help after the restaurant closed.,,,,,
The chef that distrusted the cashier called for help after the restaurant closed.,,,,,
The chef that distrusted you called for help after the restaurant closed.,,,,,
The chef that distrusted Joe called for help after the restaurant closed.,,,,,
The aunt that the child amused made paper dolls out of the newspaper.,,,,,
The aunt that you amused made paper dolls out of the newspaper.,,,,,
The aunt that Kim amused made paper dolls out of the newspaper.,,,,,
The aunt that amused the child made paper dolls out of the newspaper.,,,,,
The aunt that amused you made paper dolls out of the newspaper.,,,,,
The aunt that amused Kim made paper dolls out of the newspaper.,,,,,
The violinist that the conductor complimented performed at Carnegie Hall for two weeks.,,,,,
The violinist that you complimented performed at Carnegie Hall for two weeks.,,,,,
The violinist that Max complimented performed at Carnegie Hall for two weeks.,,,,,
The violinist that complimented the conductor performed at Carnegie Hall for two weeks.,,,,,
The violinist that complimented you performed at Carnegie Hall for two weeks.,,,,,
The violinist that complimented Max performed at Carnegie Hall for two weeks.,,,,,
The teacher that the student questioned wrote a long science fiction novel during the summer vacation.,,,,,
The teacher that you questioned wrote a long science fiction novel during the summer vacation.,,,,,
The teacher that Bob questioned wrote a long science fiction novel during the summer vacation.,,,,,
The teacher that questioned the student wrote a long science fiction novel during the summer vacation.,,,,,
The teacher that questioned you wrote a long science fiction novel during the summer vacation.,,,,,
The teacher that questioned Bob wrote a long science fiction novel during the summer vacation.,,,,,
The editor that the author recommended changed jobs after a new merger was announced.,,,,,
The editor that you recommended changed jobs after a new merger was announced.,,,,,
The editor that Jen recommended changed jobs after a new merger was announced.,,,,,
The editor that recommended the author changed jobs after a new merger was announced.,,,,,
The editor that recommended you changed jobs after a new merger was announced.,,,,,
The editor that recommended Jen changed jobs after a new merger was announced.,,,,,
The tailor that the customer described worked in a small building near the bus station.,,,,,
The tailor that you described worked in a small building near the bus station.,,,,,
The tailor that Pam described worked in a small building near the bus station.,,,,,
The tailor that described the customer worked in a small building near the bus station.,,,,,
The tailor that described you worked in a small building near the bus station.,,,,,
The tailor that described Pam worked in a small building near the bus station.,,,,,
The admiral that the general advised reminisced nostalgically before the trip got underway.,,,,,
The admiral that you advised reminisced nostalgically before the trip got underway.,,,,,
The admiral that Jim advised reminisced nostalgically before the trip got underway.,,,,,
The admiral that advised the general reminisced nostalgically before the trip got underway.,,,,,
The admiral that advised you reminisced nostalgically before the trip got underway.,,,,,
The admiral that advised Jim reminisced nostalgically before the trip got underway.,,,,,
The coach that the referee criticized talked publicly about the incident after the game.,,,,,
The coach that you criticized talked publicly about the incident after the game.,,,,,
The coach that Eve criticized talked publicly about the incident after the game.,,,,,
The coach that criticized the referee talked publicly about the incident after the game.,,,,,
The coach that criticized you talked publicly about the incident after the game.,,,,,
The coach that criticized Eve talked publicly about the incident after the game.,,,,,
The lawyer that the client interviewed had a very small office.,,,,,
The lawyer that you interviewed had a very small office.,,,,,
The lawyer that Ken interviewed had a very small office.,,,,,
The lawyer that interviewed the client had a very small office.,,,,,
The lawyer that interviewed you had a very small office.,,,,,
The lawyer that interviewed Ken had a very small office.,,,,,
The plumber that the electrician called drove a grey truck.,,,,,
The plumber that you called drove a grey truck.,,,,,
The plumber that Joy called drove a grey truck.,,,,,
The plumber that called the electrician drove a grey truck.,,,,,
The plumber that called you drove a grey truck.,,,,,
The plumber that called Joy drove a grey truck.,,,,,
The salesman that the accountant contacted spoke very quickly.,,,,,
The salesman that you contacted spoke very quickly.,,,,,
The salesman that Jon contacted spoke very quickly.,,,,,
The salesman that contacted the accountant spoke very quickly.,,,,,
The salesman that contacted you spoke very quickly.,,,,,
The salesman that contacted Jon spoke very quickly.,,,,,
The clown that the magician entertained was a star.,,,,,
The clown that you entertained was a star.,,,,,
The clown that Meg entertained was a star.,,,,,
The clown that entertained the magician was a star.,,,,,
The clown that entertained you was a star.,,,,,
The clown that entertained Meg was a star.,,,,,
The clerk that the traveler helped worked in a large foreign bank.,,,,,
The clerk that you helped worked in a large foreign bank.,,,,,
The clerk that Lou helped worked in a large foreign bank.,,,,,
The clerk that helped the traveler worked in a large foreign bank.,,,,,
The clerk that helped you worked in a large foreign bank.,,,,,
The clerk that helped Lou worked in a large foreign bank.,,,,,
The gardener that the homeowner envied was very friendly.,,,,,
The gardener that you envied was very friendly.,,,,,
The gardener that Liz envied was very friendly.,,,,,
The gardener that envied the homeowner was very friendly.,,,,,
The gardener that envied you was very friendly.,,,,,
The gardener that envied Liz was very friendly.,,,,,
The actress who was in the French director's studio this week hit the expensive vase at the entrance.,,,,,
The camera that was in the French director's studio this week hit the expensive vase at the entrance.,,,,,
This is the actress who this week in the French director's studio hit the expensive vase at the entrance.,,,,,
This is the camera that this week in the French director's studio hit the expensive vase at the entrance.,,,,,
The student who was yesterday in the class of the lazy practitioner bored the members of the course.,,,,,
The assignment that was yesterday in the class of the lazy practitioner bored the members of the course.,,,,,
This is the student who yesterday in the class of the lazy practitioner bored the members of the course.,,,,,
This is the assignment that yesterday in the class of the lazy practitioner bored the members of the course.,,,,,
The baby who was in the young kindergartener's daycare today rolled around on the lawn.,,,,,
The cart that was in the young kindergartener's daycare today rolled over on the lawn.,,,,,
This is the baby who today in the young kindergartener's daycare rolled on the lawn.,,,,,
This is the cart that today in the young kindergartener's daycare rolled on the lawn.,,,,,
The saleswoman who was in the talented goldsmith's shop today excited the spendthrift customer.,,,,,
The chain that was in the talented goldsmith's shop today excited the spendthrift customer.,,,,,
This is the saleswoman who today in the talented goldsmith's shop excited the spendthrift customer.,,,,,
This is the chain that today in the talented goldsmith's shop excited the spendthrift customer.,,,,,
The girl who was at the red-haired comedian's wedding this week amazed all the guests.,,,,,
The cake that was at the red-haired comedian's wedding this week amazed all the guests.,,,,,
This is the girl who this week at the red-haired comedian's wedding amazed all the guests.,,,,,
This is the cake that this week at the red-haired comedian's wedding amazed all the guests.,,,,,
The nanny who was at the elderly grandmother's house this morning made her curly granddaughter sad.,,,,,
The souvenir that was in the elderly grandmother's house this morning made the curly granddaughter sad.,,,,,
This is the nanny who this morning at the elderly grandmother's house saddened her curly granddaughter.,,,,,
This is the souvenir who this morning at the elderly grandmother's house saddened her curly granddaughter.,,,,,
The fan who was in the English singer's room this morning made the band members happy.,,,,,
The picture that was in the English singer's room this morning made the members of the band happy.,,,,,
This is the fan who this morning in the room of the English singer made the members of the band happy.,,,,,
This is the picture that this morning in the room of the English singer made the members of the band happy.,,,,,
The nurse who was at the examination of the successful surgeon today reassured the worried patient.,,,,,
The result of today's examination by the successful surgeon reassured the worried patient.,,,,,
This is the nurse who today during the examination of the successful surgeon calmed down the worried patient.,,,,,
This is the result that today during the examination of the successful surgeon calmed down the worried patient.,,,,,
The usher who was at the young playwright's performance this evening confused the spectators who entered.,,,,,
The sign that was in the play of the young playwright this evening confused the spectators who entered.,,,,,
This is the usher who tonight at the play by the young playwright confused the spectators who came in.,,,,,
This is the sign that tonight at the play by the young playwright confused the spectators who came in.,,,,,
The apprentice who was in the office of the chatty minister at noon angered the veteran supervisor.,,,,,
The report that was in the office of the chatty minister at noon angered the veteran inspector.,,,,,
This is the apprentice who in the office of the chatty minister at noon angered the old inspector.,,,,,
This is the report that at noon in the office of the chatty minister angered the veteran inspector.,,,,,
The employee who was in the talented programmer's interview this morning annoyed the team leader.,,,,,
The test that was in the talented programmer's interview this morning annoyed the head of the team.,,,,,
This is the employee who this morning in the interview of the talented programmer annoyed the head of the team.,,,,,
This is the test that this morning in the interview of the talented programmer annoyed the head of the team.,,,,,
The dog that was in the care of the devoted boy this year has grown quite impressively.,,,,,
The pot that was in the care of the devoted boy this year grew quite impressively.,,,,,
This is the dog that this year under the care of the devoted boy has grown quite impressively.,,,,,
This is the pot that this year under the care of the devoted boy has grown quite impressively.,,,,,
The guitarist who was at the Italian composer's celebration tonight played the favorite song.,,,,,
The loudspeaker that was at the Italian composer's celebration tonight played the favorite song.,,,,,
This is the guitarist who tonight at the celebration of the Italian composer played the favorite.,,,,,
This is the speaker that tonight at the celebration of the Italian composer played the favorite.,,,,,
The girl who was in the kind teacher's class yesterday fell off the high round table.,,,,,
The brochure that was in the kind teacher's class yesterday fell off the high round table.,,,,,
This is the girl who yesterday in the kind teacher's class fell off the high round table.,,,,,
This is the brochure that yesterday in the kind teacher's class fell off the high round table.,,,,,
The dancer who was last night at the performance of the choreographer from Toronto embarrassed the director of the hall.,,,,,
The setting that was at last night's performance by the choreographer from Toronto embarrassed the director of the hall.,,,,,
This is the dancer who last night at the performance of the choreographer from Toronto embarrassed the manager of the hall.,,,,,
This is the setting that last night at the performance of the choreographer from Toronto embarrassed the manager of the hall.,,,,,
The model who was tonight at the designer's event from Paris impressed the enthusiastic crowd.,,,,,
The dress that was tonight at the designer's event from Paris impressed the enthusiastic crowd.,,,,,
This is the model who tonight at the Paris-based designer's event impressed the enthusiastic crowd.,,,,,
This is the dress that tonight at the Paris-based designer's event impressed the enthusiastic crowd.,,,,,
The pianist who was tonight at the impressive musician's competition moved the tough judges.,,,,,
The composition that was tonight at the impressive musician's competition moved the tough judges.,,,,,
This is the pianist who tonight in the competition of the impressive musician moved the tough judges.,,,,,
This is the piece that tonight in the competition of the impressive musician moved the tough judges.,,,,,
The journalist who was this evening at the leading candidate's conference convinced the undecided voters.,,,,,
The presentation that was this evening at the leading candidate's conference convinced the undecided voters.,,,,,
This is the journalist who tonight at the conference of the leading candidate convinced the undecided voters.,,,,,
This is the presentation that tonight at the conference of the leading candidate convinced the undecided voters.,,,,,
The commanding officer who was early in the morning in the senior officer's headquarters woke up the combat soldiers.,,,,,
The alarm that was early in the morning in the senior officer's headquarters woke up the combat soldiers.,,,,,
This is the commanding officer who in the morning in the senior officer's headquarters woke up the combat soldiers.,,,,,
This is the alarm that in the morning in the senior officer's headquarters woke up the combat soldiers.,,,,,
The witness who was this week in the hardened criminal's apartment incriminated the accomplice.,,,,,
The evidence that was this week in the hardened criminal's apartment incriminated the accomplice.,,,,,
This is the witness who this week in the hardened criminal's apartment incriminated the accomplice.,,,,,
This is the evidence that this week in the hardened criminal's apartment incriminated the accomplice.,,,,,
The tourist hired the guides that the locals angered due to a misunderstanding,,,,,
The tourists hired the guides that the locals angered due to a misunderstanding,,,,,
The tourist hired the guides that two days ago the locals from the nearby village angered due to a misunderstanding,,,,,
The tourists hired the guides who two days ago the locals from the nearby village angered due to a misunderstanding,,,,,
The coach removed the gymnasts that the fans disrespected because of the recent losses,,,,,
The coaches removed the gymnasts that the fans disrespected because of the recent losses,,,,,
The coach removed the gymnasts that last week the loud and disappointed fans disrespected because of the recent losses,,,,,
The coaches removed the gymnasts that last week the loud and disappointed fans disrespected because of the recent losses,,,,,
The agent discovered the producers that the musicians excited following the success of the album,,,,,
The agents discovered the producers that the musicians excited following the success of the album,,,,,
The agent discovered the producers that a month ago the talented and friendly musicians excited following the success of the album,,,,,
The agents discovered the producers that a month ago the talented and friendly musicians excited following the success of the album,,,,,
The policeman hid the suspects that the criminals threatened after the publicized arrest,,,,,
The policemen hid the suspects that the criminals threatened after the publicized arrest,Who did the criminals threaten?,suspects,policemen,"The policemen hid the suspects that the criminals threatened after the publicized arrest. Therefore, the criminals threatened the ","The policemen hid the suspects that the criminals threatened after the publicized arrest. Therefore, the criminals threatened the [MASK]."
The policeman hid the suspects that the criminals from the underworld threatened the previous month after the publicized arrest,Who did the criminals threaten?, suspects,policeman,"The policeman hid the suspects that the criminals from the underworld threatened the previous month after the publicized arrest. Therefore, the previous month after the publicized arrest, the criminals from the underworld threatened the ","The policeman hid the suspects that the criminals from the underworld threatened the previous month after the publicized arrest. Therefore, the criminals from the underworld threatened the [MASK] the previous month after the publicized arrest."
The policemen hid the suspects that the criminals from the underworld threatened the previous month after the publicized arrest,Who did the criminals threaten?,suspects,policemen,"The policemen hid the suspects that the criminals from the underworld threatened the previous month after the publicized arrest. Therefore, the previous month after the publicized arrest, the criminals from the underworld threatened the ","The policemen hid the suspects that the criminals from the underworld threatened the previous month after the publicized arrest. Therefore, the criminals from the underworld threatened the [MASK] the previous month after the publicized arrest."
The policeman hid the suspects that the criminals from the underworld had threatened the previous month after the publicized arrest,Who did the criminals threaten?,suspects,policeman,"The policeman hid the suspects that the criminals from the underworld had threatened the previous month after the publicized arrest. Therefore, the previous month after the publicized arrest, the criminals from the underworld had threatened the ","The policeman hid the suspects that the criminals from the underworld had threatened the previous month after the publicized arrest. Therefore, the criminals from the underworld had threatened the [MASK] the previous month after the publicized arrest."
The policemen hid the suspects that the criminals from the underworld had threatened the previous month after the publicized arrest,Who did the criminals threaten?,suspects,policemen,"The policemen hid the suspects that the criminals from the underworld had threatened the previous month after the publicized arrest. Therefore, the previous month after the publicized arrest, the criminals from the underworld had threatened the ","The policemen hid the suspects that the criminals from the underworld had threatened the previous month after the publicized arrest. Therefore, the criminals from the underworld had threatened the [MASK] the previous month after the publicized arrest."
The inspector will interrogate the wardens that the prisoners abused at the beginning of the official position,Who did the prisoners abused?,wardens,inspector,"The inspector will interrogate the wardens that the prisoners abused at the beginning of the official position. Therefore, at the beginning of the official position, the prisoners abused the ","The inspector will interrogate the wardens that the prisoners abused at the beginning of the official position. Therefore, the prisoners abused the [MASK] at the beginning of the official position."
The inspectors will interrogate the wardens that the prisoners abused at the beginning of the official position,Who did the prisoners abused?,wardens,inspectors,"The inspectors will interrogate the wardens that the prisoners abused at the beginning of the official position. Therefore, at the beginning of the official position, the prisoners abused the ","The inspectors will interrogate the wardens that the prisoners abused at the beginning of the official position. Therefore, the prisoners abused the [MASK] at the beginning of the official position."
The inspector will investigate the wardens that last year the most violent prisoners abused at the beginning of the official position,Who did the prisoners abused?,wardens,inspector,"The inspector will investigate the wardens that last year the most violent prisoners abused at the beginning of the official position. Therefore, last year the most violent prisoners abused the ","The inspector will investigate the wardens that last year the most violent prisoners abused at the beginning of the official position. Therefore, last year the most violent prisoners abused the [MASK] at the beginning of the official position."
The inspectors will investigate the wardens that last year the most violent prisoners abused at the beginning of the official position,Who did the prisoners abused?,wardens,inspectors,"The inspectors will investigate the wardens that last year the most violent prisoners abused at the beginning of the official position. Therefore, last year the most violent prisoners abused the ","The inspectors will investigate the wardens that last year the most violent prisoners abused at the beginning of the official position. Therefore, last year the most violent prisoners abused the [MASK] at the beginning of the official position."
The singer met the stars that the fans cared for during the long absence,Who did the fans care for?,stars,singer,"The singer met the stars that the fans cared for during the long absence. Therefore, during the long absence, the fans cared for the ","The singer met the stars that the fans cared for during the long absence. Therefore, the fans cared for the [MASK] during the long absence."
The singers met the stars that the fans cared for during the long absence,Who did the fans care for?,stars,singers,"The singers met the stars that the fans cared for during the long absence. Therefore, during the long absence, the fans cared for the ","The singers met the stars that the fans cared for during the long absence. Therefore, the fans cared for the [MASK] during the long absence."
The singer met the stars that loyal and devoted fans cared for in recent months during the long absence,Who did the fans care for?,stars,singer,"The singer met the stars that loyal and devoted fans cared for in recent months during the long absence. Therefore, in the recent months during the long absence, loyal and devoted fans cared for the","The singer met the stars that loyal and devoted fans cared for in recent months during the long absence. Therefore, loyal and devoted fans cared for the [MASK] in recent months during the long absence."
The singers met the stars that loyal and devoted fans cared for in recent months during the long absence,Who did the fans care for?,stars,singers,"The singers met the stars that loyal and devoted fans cared for in recent months during the long absence. Therefore, in the recent months during the long absence, loyal and devoted fans cared for the ","The singers met the stars that loyal and devoted fans cared for in recent months during the long absence. Therefore, loyal and devoted fans cared for the [MASK] in recent months during the long absence."
The medic interrogated the doctors that the injured people needed following the car accident,Who did the injured people needed?,doctors,medic,"The medic interrogated the doctors that the injured people needed following the car accident. Therefore, following the car accident, the injured people needed the ","The medic interrogated the doctors that the injured people needed following the car accident. Therefore, the injured people needed the [MASK] following the car accident."
The medics interrogated the doctors that the injured people needed following the car accident,Who did the injured people needed?,doctors,medics,"The medics interrogated the doctors that the injured people needed following the car accident. Therefore, the injured people needed the ","The medics interrogated the doctors that the injured people needed following the car accident. Therefore, the injured people needed the [MASK] following the car accident."
The medic interrogated the doctors that the injured people needed following yesterday evening car accident,Who did the injured people needed?,doctors,medic,"The medic interrogated the doctors that the injured people needed following yesterday evening car accident. Therefore, the injured people needed the ","The medic interrogated the doctors that the injured people needed following yesterday evening car accident. Therefore, the injured people needed the [MASK] following the car accident."
The medics interrogated the doctors that the injured people needed following yesterday evening car accident,Who did the injured people needed?,doctors,medics,"The medics interrogated the doctors that the injured people needed following yesterday evening car accident. Therefore, the injured people needed the ","The medics interrogated the doctors that the injured people needed following yesterday evening car accident. Therefore, the injured people needed the [MASK] following the car accident."
The teacher failed the girls that the students ignored since the annual trip,Who the students ignored?,girls,teacher,"The teacher failed the girls that the students ignored since the annual trip. Therefore, the students ignored the ","The teacher failed the girls that the students ignored since the annual trip. Therefore, the students ignored the [MASK]"
The teachers failed the girls that the students ignored since the annual trip,Who the students ignored?,girls,teachers,"The teachers failed the girls that the students ignored since the annual trip. Therefore, the students ignored the ","The teachers failed the girls that the students ignored since the annual trip. Therefore, the students ignored the [MASK]"
The teacher failed the girls that the popular and arrogant students ignored for the past month since the annual trip,Who the students ignored?,girls,teacher,"The teacher failed the girls that the popular and arrogant students ignored for the past month since the annual trip. Therefore, the popular and arrogant students ignored the ","The teacher failed the girls that the popular and arrogant students ignored for the past month since the annual trip. Therefore, the popular and arrogant students ignored the [MASK]"
The teachers failed the girls that the popular and arrogant students ignored for the past month since the annual trip,Who the students ignored?,girls,teachers,"The teachers failed the girls that the popular and arrogant students ignored for the past month since the annual trip. Therefore, the popular and arrogant students ignored the ","The teachers failed the girls that the popular and arrogant students ignored for the past month since the annual trip. Therefore, the popular and arrogant students ignored the [MASK]"
The president summoned the consultants that the lobbyists paid to promote the law,Who the lobbyists paid to?,consultants,president,"The president summoned the consultants that the lobbyists paid to promote the law. Therefore, the lobbyists paid to the ","The president summoned the consultants that the lobbyists paid to promote the law. Therefore, the lobbyists paid to the [MASK] to promote the law."
The presidents summoned the consultants that the lobbyists paid to promote the law,Who the lobbyists paid to?,consultants,presidents,"The presidents summoned the consultants that the lobbyists paid to promote the law. Therefore, the lobbyists paid to the ","The presidents summoned the consultants that the lobbyists paid to promote the law. Therefore, the lobbyists paid to the [MASK] to promote the law."
The president summoned the consultants that last year the organization's lobbyists paid to promote the law,Who the lobbyists paid to?,consultants,president,"The president summoned the consultants that last year the organization's lobbyists paid to promote the law. Therefore, the lobbyists paid to the ","The president summoned the consultants that last year the organization's lobbyists paid to promote the law. Therefore, the lobbyists paid to the [MASK] to promote the law."
The presidents summoned the consultants that last year the organization's lobbyists paid to promote the law,Who the lobbyists paid to?,consultants,presidents,"The presidents summoned the consultants that last year the organization's lobbyists paid to promote the law. Therefore, the lobbyists paid to the ","The presidents summoned the consultants that last year the organization's lobbyists paid to promote the law. Therefore, the lobbyists paid to the [MASK] to promote the law."
The director sketched the actresses that the extras watched during the extended scene,Who did the extras watch during the extended scene?,actresses,director,"The director sketched the actresses that the extras watched during the extended scene. Therefore, the extras watched the ","The director sketched the actresses that the extras watched during the extended scene. Therefore, the extras watched the [MASK] during the extended scene."
The directors sketched the actresses that the extras watched during the extended scene,Who did the extras watch during the extended scene?,actresses,directors,"The directors sketched the actresses that the extras watched during the extended scene. Therefore, the extras watched the ","The directors sketched the actresses that the extras watched during the extended scene. Therefore, the extras watched the [MASK] during the extended scene."
The director sketched the actresses that two days ago the young and excited extras watched during the extended scene,Who did the extras watch during the extended scene?,actresses,director,"The director sketched the actresses that two days ago the young and excited extras watched during the extended scene. Therefore, the young and excited extras watched the ","The director sketched the actresses that two days ago the young and excited extras watched during the extended scene. Therefore, the extras watched the [MASK] during the extended scene."
The directors sketched the actresses that two days ago the young and excited extras watched during the extended scene,Who did the extras watch during the extended scene?,actresses,directors,"The directors sketched the actresses that two days ago the young and excited extras watched during the extended scene. Therefore, the young and excited extras watched the ","The directors sketched the actresses that two days ago the young and excited extras watched during the extended scene. Therefore, the extras watched the [MASK] during the extended scene."
The detective located the smugglers that the assistants helped for a high fee,Who the assistants helped?,smugglers,detective,"The detective located the smugglers that the assistants helped for a high fee. Therefore, the assistants helped to the ","The detective located the smugglers that the assistants helped for a high fee. Therefore, the assistants helped to the [MASK] for a high fee."
The detectives located the smugglers that the assistants helped for a high fee,Who the assistants helped?,smugglers,detectives,"The detectives located the smugglers that the assistants helped for a high fee. Therefore, the assistants helped to the ","The detectives located the smugglers that the assistants helped for a high fee. Therefore, the assistants helped to the [MASK] for a high fee."
The detective located the smugglers that two weeks ago the smart and agile assistants helped for a high fee,Who the assistants helped?,smugglers,detective,"The detective located the smugglers that two weeks ago the smart and agile assistants helped for a high fee. Therefore, the smart and agile assistants helped to the ","The detective located the smugglers that two weeks ago the smart and agile assistants helped for a high fee. Therefore, the assistants helped to the [MASK] for a high fee."
The detectives located the smugglers that two weeks ago the smart and agile assistants helped for a high fee,Who the assistants helped?,smugglers,detectives,"The detectives located the smugglers that two weeks ago the smart and agile assistants helped for a high fee. Therefore, the smart and agile assistants helped to the ","The detectives located the smugglers that two weeks ago the smart and agile assistants helped for a high fee. Therefore, the assistants helped to the [MASK] for a high fee."
The manager knew the cashiers that the customers heard during the busy shift,Who did the customers heard during the busy shift?,cashiers,manager,"The manager knew the cashiers that the customers heard during the busy shift. Therefore, the customers heard the ","The manager knew the cashiers that the customers heard during the busy shift. Therefore, the customers heard the [MASK] during the busy shift."
The managers knew the cashiers that the customers heard during the busy shift,Who did the customers heard during the busy shift?,cashiers,managers,"The managers knew the cashiers that the customers heard during the busy shift. Therefore, the customers heard the ","The managers knew the cashiers that the customers heard during the busy shift. Therefore, the customers heard the [MASK] during the busy shift."
The manager knew the cashiers that yesterday morning the demanding and opinionated customers heard during the busy shift,Who did the customers heard during the busy shift?,cashiers,manager,"The manager knew the cashiers that yesterday morning the demanding and opinionated customers heard during the busy shift. Therefore, the customers heard the ","The manager knew the cashiers that yesterday morning the demanding and opinionated customers heard during the busy shift. Therefore, the customers heard the [MASK] during the busy shift."
The managers knew the cashiers that yesterday morning the demanding and opinionated customers heard  during the busy shift,Who did the customers heard during the busy shift?,cashiers,managers,"The managers knew the cashiers that yesterday morning the demanding and opinionated customers heard  during the busy shift. Therefore, the customers heard the ","The managers knew the cashiers that yesterday morning the demanding and opinionated customers heard  during the busy shift. Therefore, the customers heard the [MASK] during the busy shift."
The ambassador appreciated the interpreters that the representatives supported despite the expected difficulties,Who the representatives supported?,interpreters,ambassador,"The ambassador appreciated the interpreters that the representatives supported despite the expected difficulties. Therefore, the representatives supported the ","The ambassador appreciated the interpreters that the representatives supported despite the expected difficulties. Therefore, the representatives supported the [MASK] despite the expected difficulties."
